AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4198.974359,4200.25641,4229.74359,4240.512821,4142.051282,4186.666667,4172.948718,4182.307692,4199.74359,4145,4157.051282,4444.358975,4363.589744,4255.769231
4204.487179,4207.051282,4234.871795,4248.076923,4140.25641,4184.615384,4172.820513,4182.564102,4199.615384,4145.769231,4157.692307,4445.897436,4364.74359,4259.102564
4209.102564,4216.153846,4234.615385,4251.794872,4143.076923,4185.769231,4179.230769,4184.487179,4208.333333,4147.051282,4168.461538,4451.282052,4359.230769,4267.564103
4209.871795,4219.871795,4235.128205,4251.666667,4141.410256,4194.487179,4187.435897,4190.897436,4217.435897,4145.51282,4173.589743,4458.076924,4355.769231,4270.769231
4201.538461,4213.333333,4231.025641,4245.128205,4141.153846,4198.589743,4186.025641,4196.923077,4219.102564,4144.487179,4163.846154,4449.23077,4355.384616,4263.589744
4195.51282,4209.487179,4226.282051,4242.179487,4141.923077,4198.076923,4184.615384,4196.538461,4218.974359,4147.051282,4158.974359,4440.512821,4357.564103,4259.871795
4201.538461,4217.820513,4226.666667,4247.179487,4138.205128,4199.615384,4188.333333,4195.128205,4218.205128,4148.333333,4158.461538,4448.717949,4356.666667,4263.717949
4199.487179,4218.589744,4223.333333,4242.948718,4141.666666,4193.589743,4181.666667,4184.102564,4202.692308,4148.717949,4145.769231,4446.538462,4349.871795,4259.102564
4187.307692,4204.102564,4209.871795,4229.74359,4139.487179,4185.25641,4170,4167.948718,4188.333333,4148.589743,4131.025641,4428.461539,4346.923077,4245.769231
4181.794872,4195.641026,4202.435897,4226.794872,4140,4185.641026,4169.487179,4170,4191.153846,4148.589743,4124.743589,4421.923077,4346.282051,4241.410256
4188.205128,4205.51282,4208.333333,4230.897436,4145.25641,4185.51282,4172.692308,4179.615384,4191.538461,4148.846154,4119.871795,4428.333334,4340.512821,4245.128205
